sample_id	subject_id	relation_id	timepoint
23584_5_5	A02913	A02913	7
23584_5_6	A02913	A02913	0
25076_7_1	A02913	A02913	100
37273_5_17	A02941	A02941	7
37081_5_10	A02946	A02946	7
37081_5_2	A02955	A02955	7
37081_5_22	A03000	A03000	7
25076_3_8	A03001	A03001	7
25076_7_5	A03001	A03001	100
37081_5_20	A03003	A03003	7
25013_2_18	A03026	A03026	100
25076_3_9	A03026	A03026	7
37082_7_1	A03062	A03062	7
37081_6_6	A03093	A03093	7
37081_6_12	A03094	A03094	7
37082_5_8	A03151	A03151	7
37081_6_29	A03177	A03177	7
37082_7_7	A03178	A03178	7
37081_6_30	A03179_T1	A03179	7
37082_7_10	A03179_T2	A03179	7
37081_6_31	A03183	A03183	7
37082_5_16	A03228	A03228	7
37081_7_1	A03284	A03284	7
37081_8_32	A03309	A03309	7
37081_7_15	A03337	A03337	7
37082_6_4	A03368	A03368	7
37081_7_22	A03374	A03374	7
20596_4_3	B00002	B00002	4
20596_4_4	B00002	B00002	7
20596_4_5	B00002	B00002	21
20596_4_6	B00004	B00004	0
20596_4_7	B00004	B00004	7
20596_4_8	B00004	B00004	21
37082_4_4	B00007	B00007	3
20596_4_9	B00008	B00008	21
20727_3_1	B00010	B00010	4
20727_3_2	B00010	B00010	7
20727_3_3	B00010	B00010	21
20596_4_10	B00012	B00012	0
20596_4_11	B00012	B00012	4
20596_4_12	B00012	B00012	7
20596_4_13	B00013	B00013	4
20596_4_14	B00013	B00013	7
20596_4_15	B00013	B00013	21
20596_4_16	B00016	B00016	7
20596_4_17	B00016	B00016	4
20596_4_18	B00016	B00016	21
20596_4_19	B00017	B00017	4
20596_4_20	B00017	B00017	21
20596_4_21	B00020	B00020	4
20596_4_22	B00020	B00020	7
20596_4_23	B00020	B00020	21
20596_5_5	B00027	B00027	7
20596_5_6	B00027	B00027	21
20596_5_7	B00036	B00036	4
20596_5_8	B00036	B00036	7
20596_5_9	B00036	B00036	21
20596_5_10	B00040	B00040	0
20596_5_11	B00040	B00040	4
20596_5_17	B00046	B00046	0
20596_5_18	B00046	B00046	4
20596_5_19	B00046	B00046	7
20596_5_20	B00046	B00046	21
20596_5_21	B00052	B00052	7
20596_5_22	B00052	B00052	21
20727_3_4	B00053	B00053	4
20727_3_5	B00053	B00053	7
20727_3_6	B00053	B00053	21
20727_6_21	B00057	B00057	4
20727_6_22	B00057	B00057	7
20727_3_7	B00064	B00064	4
20727_3_8	B00064	B00064	7
20727_3_9	B00064	B00064	21
20727_3_12	B00070	B00070	4
20727_3_13	B00070	B00070	7
20727_3_14	B00070	B00070	21
20727_3_15	B00071	B00071	4
20727_3_16	B00071	B00071	7
20727_3_17	B00071	B00071	21
20727_3_18	B00075	B00075	0
20727_3_19	B00075	B00075	4
20727_3_20	B00075	B00075	7
20727_3_21	B00075	B00075	21
20727_3_22	B00076	B00076	7
20727_3_23	B00076	B00076	21
20727_3_24	B00077	B00077	4
20727_4_1	B00077	B00077	7
20727_4_2	B00077	B00077	21
20727_4_3	B00085	B00085	4
20727_4_4	B00085	B00085	7
37082_4_14	B00086_T1	B00086	21
37082_4_15	B00086_T2	B00086	21
20727_6_23	B00088	B00088	4
20727_6_24	B00088	B00088	7
20727_4_5	B00090	B00090	4
20727_4_6	B00090	B00090	7
20727_4_7	B00090	B00090	21
20727_4_10	B00092	B00092	21
20727_4_8	B00092	B00092	4
20727_4_9	B00092	B00092	7
20727_7_1	B00096	B00096	7
20727_7_2	B00096	B00096	21
20727_4_11	B00097	B00097	4
20727_4_12	B00097	B00097	7
20727_4_13	B00097	B00097	21
20727_4_14	B00099	B00099	0
20727_4_15	B00099	B00099	4
20727_4_16	B00099	B00099	7
20727_4_17	B00100	B00100	7
20727_4_18	B00100	B00100	21
20727_4_19	B00101	B00101	4
20727_4_20	B00101	B00101	7
20727_4_21	B00101	B00101	21
37081_1_16	B001023	B001023	7
20727_7_3	B00111	B00111	4
20727_7_4	B00111	B00111	7
20727_5_20	B00112	B00112	4
20727_5_21	B00112	B00112	7
20727_7_5	B00116	B00116	4
20727_7_6	B00116	B00116	7
20727_4_24	B00119	B00119	4
20727_5_1	B00119	B00119	7
20727_5_2	B00119	B00119	21
20727_5_22	B00120	B00120	4
20727_5_23	B00120	B00120	7
20727_5_24	B00129	B00129	4
20727_6_1	B00129	B00129	7
20727_6_2	B00136	B00136	4
20727_6_3	B00136	B00136	7
20727_6_4	B00136	B00136	21
20727_6_5	B00139	B00139	0
20727_6_6	B00139	B00139	7
20727_6_7	B00139	B00139	21
20727_5_5	B00140	B00140	4
20727_5_6	B00140	B00140	7
20727_5_7	B00140	B00140	21
37082_4_12	B00141	B00141	4
20727_6_10	B00145	B00145	21
20727_6_8	B00145	B00145	4
20727_6_9	B00145	B00145	7
20727_5_10	B00146	B00146	21
20727_5_8	B00146	B00146	4
20727_5_9	B00146	B00146	7
20727_5_11	B00149	B00149	4
20727_5_12	B00149	B00149	7
20727_5_13	B00149	B00149	21
37082_4_32	B00151	B00151	21
20727_5_14	B00153	B00153	4
20727_5_15	B00153	B00153	7
20727_5_16	B00153	B00153	21
20727_6_11	B00157_T3	B00157	4
20727_6_12	B00157_T2	B00157	4
20727_6_13	B00157_T3	B00157	7
20727_6_14	B00157_T2	B00157	7
21127_3_11	B00157_T2	B00157	21
21127_3_12	B00157_T3	B00157	21
37082_4_30	B00157	B00157	21
37082_4_17	B00166	B00166	7
20727_6_15	B00174	B00174	4
20727_6_16	B00174	B00174	7
20727_6_17	B00174	B00174	21
20727_7_10	B00175	B00175	21
20727_7_9	B00175	B00175	4
20727_7_11	B00176	B00176	4
20727_7_12	B00176	B00176	21
37082_4_18	B00177	B00177	7
21127_3_13	B00178	B00178	4
21127_3_14	B00178	B00178	7
21242_76	B00178	B00178	21
37273_7_21	B00194	B00194	4
37082_4_19	B00196	B00196	7
37273_7_23	B00202	B00202	21
21127_3_10	B00203_T2	B00203	7
21127_3_23	B00203_T1	B00203	21
21127_3_24	B00203_T2	B00203	21
21127_3_8	B00203_T1	B00203	7
21127_3_9	B00203_T2	B00203	4
37082_4_26	B00206	B00206	21
20727_7_19	B00220	B00220	0
20727_7_20	B00220	B00220	4
37082_4_21	B00222	B00222	7
20727_7_21	B00224	B00224	4
20727_7_22	B00224	B00224	7
21127_3_21	B00224	B00224	21
37082_4_22	B00232	B00232	7
37035_5_23	B00234	B00234	7
21673_23	B00235	B00235	4
21673_42	B00235	B00235	21
21673_43	B00235	B00235	7
21127_3_3	B00236	B00236	4
21127_3_4	B00236	B00236	7
21127_4_1	B00236	B00236	21
21127_3_16	B00238	B00238	7
21127_3_2	B00238	B00238	0
37082_4_23	B00240	B00240	7
21127_3_1	B00243	B00243	4
21127_3_20	B00243	B00243	21
21127_3_5	B00243	B00243	7
37082_4_24	B00248	B00248	7
37082_4_27	B00249	B00249	7
21127_3_6	B00252	B00252	4
21127_3_7	B00252	B00252	7
21127_4_8	B00252	B00252	21
37082_4_25	B00253	B00253	7
37082_4_31	B00264	B00264	4
37082_4_28	B00265	B00265	4
37081_1_9	B00266	B00266	21
21127_4_15	B00268	B00268	7
21127_5_19	B00268	B00268	21
21523_4_24	B00268	B00268	4
37081_1_1	B00269	B00269	7
21127_3_17	B00272	B00272	4
21127_3_18	B00272	B00272	7
21127_5_16	B00272	B00272	21
37081_1_3	B00506	B00506	7
21127_4_2	B00507	B00507	4
21242_77	B00507	B00507	21
21242_78	B00507	B00507	7
24211_2_4	B00509	B00509	4
24469_3_8	B00509	B00509	100
37081_1_5	B00516	B00516	8
21127_5_23	B00518	B00518	4
21127_6_13	B00518	B00518	7
21127_7_1	B00518	B00518	21
37081_1_10	B00531	B00531	7
37081_1_7	B00532	B00532	7
21127_3_22	B00537	B00537	7
21127_4_19	B00537	B00537	21
21127_4_3	B00537	B00537	4
21127_4_6	B00537	B00537	0
37035_5_25	B00546	B00546	7
37035_5_21	B00546	B00546	4
21127_4_21	B00550	B00550	21
21127_4_7	B00550	B00550	0
37081_1_8	B00552	B00552	5
21127_4_11	B00553	B00553	7
21127_4_5	B00553	B00553	4
21127_5_15	B00553	B00553	21
21127_4_12	B00560	B00560	4
21242_79	B00560	B00560	7
21242_80	B00560	B00560	21
21127_4_17	B00562_T2	B00562	4
21127_4_23	B00562_T1	B00562	7
21127_5_1	B00562_T2	B00562	7
21127_5_17	B00562_T1	B00562	21
21127_5_18	B00562_T2	B00562	21
37273_7_1	B00563	B00563	4
37273_7_25	B00564	B00564	7
37273_7_24	B00567	B00567	4
37081_1_18	B00569	B00569	7
37081_1_20	B00572	B00572	21
21127_5_13	B00916	B00916	4
21127_5_14	B00916	B00916	7
21127_5_22	B00916	B00916	21
21127_5_24	B00917	B00917	7
21127_6_1	B00917	B00917	4
21127_6_8	B00917	B00917	21
21127_5_7	B00922	B00922	7
21242_81	B00922	B00922	0
37081_1_15	B00937	B00937	7
37081_1_17	B00965	B00965	7
37273_7_27	B00982	B00982	7
37081_2_25	B00986	B00986	7
37081_1_12	B00990	B00990	7
37035_5_27	B00992	B00992	7
37273_7_26	B01002	B01002	7
37273_7_28	B01003	B01003	7
21127_6_11	B01021	B01021	4
21127_6_12	B01021	B01021	7
21127_7_6	B01021	B01021	21
21127_6_4	B01022	B01022	7
21127_7_23	B01022	B01022	0
21127_6_7	B01027	B01027	0
21127_7_5	B01027	B01027	7
21127_6_19	B01034	B01034	0
21127_7_9	B01034	B01034	7
37081_1_25	B01038	B01038	7
21127_6_18	B01039	B01039	7
21127_6_21	B01039	B01039	0
21127_6_20	B01042	B01042	0
21127_7_13	B01042	B01042	10
21127_7_7	B01042	B01042	7
21127_6_22	B01089	B01089	0
21127_7_16	B01089	B01089	4
21127_7_17	B01089	B01089	7
21242_24	B01089	B01089	21
37081_2_1	B01090	B01090	7
37081_1_28	B01098	B01098	7
37081_2_2	B01099	B01099	7
37081_1_26	B01117	B01117	4
37081_2_4	B01122	B01122	7
37081_2_3	B01124	B01124	7
37081_2_13	B01125	B01125	21
21673_44	B01128	B01128	7
21673_45	B01128	B01128	0
37273_7_30	B01187	B01187	7
37035_5_30	B01189	B01189	7
21242_33	B01190	B01190	21
21242_5	B01190	B01190	4
21242_6	B01190	B01190	7
24469_6_17	B01190	B01190	100
37081_2_8	B01191	B01191	8
37081_2_7	B01193	B01193	4
21242_12	B01194	B01194	4
21242_18	B01194	B01194	0
21242_30	B01194	B01194	7
21242_55	B01194	B01194	21
24759_5_13	B01194	B01194	100
21242_14	B01196	B01196	4
21242_27	B01196	B01196	7
21242_47	B01196	B01196	21
37273_7_32	B01217	B01217	7
25013_2_22	B01218	B01218	100
25013_3_1	B01218	B01218	7
37273_7_31	B01220	B01220	7
21673_46	B01234	B01234	7
21673_47	B01234	B01234	0
24759_5_14	B01234	B01234	100
21242_31	B01235	B01235	4
21242_42	B01235	B01235	7
21242_63	B01235	B01235	21
21242_39	B01236	B01236	4
21242_45	B01236	B01236	7
21242_64	B01236	B01236	21
24759_5_15	B01236	B01236	100
25013_3_6	B01242	B01242	7
25076_3_12	B01242	B01242	100
21673_48	B01247	B01247	4
21673_49	B01247	B01247	7
22178_4_14	B01247	B01247	21
24211_2_3	B01256	B01256	7
24469_6_24	B01256	B01256	100
21242_35	B01261	B01261	0
21242_37	B01261	B01261	4
21242_38	B01261	B01261	7
